_id,Sentence,Company,Sentiment,Type,Coarse-Grained Event,Fine-Grained Event,Industry
1,Royal Mail chairman Donald Brydon set to step down,Royal Mail,NEG,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Trading Companies & Distributors
100,Slump in Weir leads FTSE down from record high,Weir,NEG,headline,Stock Affairs,Stock Price Movement,Machinery
1000,AstraZeneca wins FDA approval for key new lung cancer pill,AstraZeneca,POS,headline,Compliance and Credit,Regulatory Inquiries,Pharmaceuticals
1002,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,Lloyds,NEG,headline,Business Operations,Other Business Operations Affairs,Banks
1005,Standard Chartered Shifts Emerging-Markets Strategy After Losses,Standard Chartered,NEG,headline,Business Operations,Other Business Operations Affairs,Banks
1012,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,AstraZeneca,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Pharmaceuticals
1016,Severn Trent share price rises as first half profit inches up as customer ...,Severn Trent,POS,headline,Stock Affairs,Stock Price Movement,Water Utilities
1022,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,Glencore,POS,headline,Compliance and Credit,Legal Affairs,Metals & Mining
1023,Lloyds to cut 945 jobs as part of three-year restructuring strategy,Lloyds,NEG,headline,Management Affairs,Employee Dynamics,Banks
1024,AstraZeneca to Buy ZS Pharma for $2.7 Billion,ZS Pharma,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1025,"Ackman, in email, says supports Valeant CEO Pearson",Valeant,POS,headline,Business Operations,Other Business Operations Affairs,Pharmaceuticals
1029,AstraZeneca sells US drug rights to Perrigo for $380 mln,Perrigo,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1032,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",ZS Pharma,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1033,CORRECTED-Shire to buy Dyax for about $5.9 bln,Shire,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1037,Barclays poised to replace Sir Mike Rake as he heads for exit,Barclays,POS,headline,Management Affairs,"Directors, Supervisors, and Senior Executives Dynamics",Banks
1038,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,ZS Pharma,POS,headline,Financing and Investment,Mergers and Acquisitions,Pharmaceuticals
1039,AstraZeneca shares climb 3% as drug maker ups profits forecasts,AstraZeneca,POS,headline,Financial Affairs,Profit Announcement,Pharmaceuticals
1040,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,SABMiller,POS,headline,Financial Affairs,Other Financial Affairs,Beverages
1044,easyJet expects resilient demand to withstand security fears,easyJet,POS,headline,Compliance and Credit,Other Compliance and Credit Affairs,Passenger Airlines
1045,Compass Group says positive for year ahead,Compass Group,POS,headline,Business Operations,Other Business Operations Affairs,"Hotels, Restaurants & Leisure"
105,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,Bunzl,POS,headline,Shareholder Affairs,Other Shareholder Affairs,Consumer Staples Distribution & Retail
1052,US dollar wipes out sales gains for SABMiller,SABMiller,NEG,headline,Financial Affairs,Other Financial Affairs,Beverages
1053,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",SABMiller,POS,headline,Financial Affairs,Other Financial Affairs,Beverages
