Sentence,Sentiment,predicted_sentiment_3_class,confidence_3_class
Royal Mail chairman Donald Brydon set to step down,NEG,neutral,0.985770583152771
Slump in Weir leads FTSE down from record high,NEG,negative,0.9986304044723511
AstraZeneca wins FDA approval for key new lung cancer pill,POS,positive,0.9994184970855713
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,NEG,negative,0.9275373816490173
Standard Chartered Shifts Emerging-Markets Strategy After Losses,NEG,negative,0.8719178438186646
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,POS,positive,0.9934764504432678
Severn Trent share price rises as first half profit inches up as customer ...,POS,positive,0.9996840953826904
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,POS,neutral,0.9998841285705566
Lloyds to cut 945 jobs as part of three-year restructuring strategy,NEG,negative,0.961683988571167
AstraZeneca to Buy ZS Pharma for $2.7 Billion,POS,neutral,0.7279202938079834
"Ackman, in email, says supports Valeant CEO Pearson",POS,neutral,0.9998248219490051
AstraZeneca sells US drug rights to Perrigo for $380 mln,POS,neutral,0.9998575448989868
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",POS,neutral,0.9997585415840149
CORRECTED-Shire to buy Dyax for about $5.9 bln,POS,neutral,0.9998598098754883
Barclays poised to replace Sir Mike Rake as he heads for exit,POS,neutral,0.9998482465744019
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,POS,neutral,0.982939600944519
AstraZeneca shares climb 3% as drug maker ups profits forecasts,POS,positive,0.9996685981750488
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,POS,neutral,0.9998915195465088
easyJet expects resilient demand to withstand security fears,POS,positive,0.9994804263114929
Compass Group says positive for year ahead,POS,positive,0.9995893836021423
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,POS,positive,0.9995505213737488
US dollar wipes out sales gains for SABMiller,NEG,positive,0.9995966553688049
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",POS,positive,0.9996998310089111
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,POS,positive,0.9997021555900574
Valeant CEO Pledges to Heed Critics After `Painful' Experience,NEG,negative,0.9924715757369995
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",POS,neutral,0.999859094619751
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",POS,neutral,0.999859094619751
StanChart and RBS struggle in Bank of England stress tests,NEG,negative,0.9884329438209534
StanChart and RBS struggle in Bank of England stress tests,NEG,negative,0.9884329438209534
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,POS,positive,0.9201125502586365
Barclays sells benchmark indices unit to Bloomberg,POS,neutral,0.9998785257339478
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,positive,0.9605315327644348
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,positive,0.9605315327644348
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,positive,0.9605315327644348
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",POS,negative,0.9792397022247314
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",POS,negative,0.9792397022247314
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,POS,neutral,0.9486057758331299
Shell and BG Shareholders to Vote on Deal at End of January,NEU,neutral,0.9998644590377808
AstraZeneca chases Acerta to secure next cancer drug winner,POS,positive,0.9992777705192566
CompaniesTesco off to a bad start over Xmas â€“ Kantar,NEG,negative,0.9965355396270752
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",POS,neutral,0.9997468590736389
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,POS,positive,0.9984506368637085
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,POS,neutral,0.9944650530815125
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,POS,positive,0.9996151924133301
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,POS,positive,0.9996151924133301
Glencore Studies Possible IPO for Agricultural Trading Business,POS,neutral,0.9998588562011719
Can Christmas Save Sainsbury's plc And Tesco plc?,NEG,neutral,0.6516216993331909
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,POS,positive,0.9995338916778564
Bilfinger Industrial Services win Â£100m BP contract extension,POS,positive,0.9995680451393127
"Standard Chartered, RBS Escape Capital Raising in Stress Test",POS,positive,0.7498292922973633
"Standard Chartered, RBS Escape Capital Raising in Stress Test",POS,positive,0.7498292922973633
AstraZeneca weighing up Acerta bid to secure blood cancer drug,POS,positive,0.9990167617797852
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,POS,neutral,0.999854564666748
