Sentence,Sentiment,predicted_sentiment_distilbert,confidence_distilbert
Royal Mail chairman Donald Brydon set to step down,NEG,LABEL_1,0.5060285329818726
Slump in Weir leads FTSE down from record high,NEG,LABEL_1,0.525917649269104
AstraZeneca wins FDA approval for key new lung cancer pill,POS,LABEL_1,0.5191001296043396
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,NEG,LABEL_1,0.5255388021469116
Standard Chartered Shifts Emerging-Markets Strategy After Losses,NEG,LABEL_1,0.5193460583686829
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,POS,LABEL_1,0.5191134214401245
Severn Trent share price rises as first half profit inches up as customer ...,POS,LABEL_1,0.5287647247314453
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,POS,LABEL_1,0.5062687993049622
Lloyds to cut 945 jobs as part of three-year restructuring strategy,NEG,LABEL_1,0.5212448239326477
AstraZeneca to Buy ZS Pharma for $2.7 Billion,POS,LABEL_1,0.510119616985321
"Ackman, in email, says supports Valeant CEO Pearson",POS,LABEL_1,0.5099257230758667
AstraZeneca sells US drug rights to Perrigo for $380 mln,POS,LABEL_1,0.5229123830795288
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",POS,LABEL_1,0.5162304043769836
CORRECTED-Shire to buy Dyax for about $5.9 bln,POS,LABEL_1,0.5240868330001831
Barclays poised to replace Sir Mike Rake as he heads for exit,POS,LABEL_1,0.5188496708869934
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,POS,LABEL_1,0.5098049640655518
AstraZeneca shares climb 3% as drug maker ups profits forecasts,POS,LABEL_1,0.5169920325279236
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,POS,LABEL_1,0.5190715789794922
easyJet expects resilient demand to withstand security fears,POS,LABEL_1,0.5300342440605164
Compass Group says positive for year ahead,POS,LABEL_1,0.5082275867462158
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,POS,LABEL_1,0.5203791260719299
US dollar wipes out sales gains for SABMiller,NEG,LABEL_1,0.5186335444450378
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",POS,LABEL_1,0.5211476683616638
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,POS,LABEL_1,0.5259333848953247
Valeant CEO Pledges to Heed Critics After `Painful' Experience,NEG,LABEL_1,0.5048528909683228
