news_sentence,sentiment_analysis
Royal Mail chairman Donald Brydon set to step down,"[{'label': 'NEGATIVE', 'score': 0.9977145195007324}]"
Slump in Weir leads FTSE down from record high,"[{'label': 'NEGATIVE', 'score': 0.9996739625930786}]"
AstraZeneca wins FDA approval for key new lung cancer pill,"[{'label': 'POSITIVE', 'score': 0.9912618398666382}]"
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,"[{'label': 'NEGATIVE', 'score': 0.9801613688468933}]"
Standard Chartered Shifts Emerging-Markets Strategy After Losses,"[{'label': 'POSITIVE', 'score': 0.9890186786651611}]"
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,"[{'label': 'POSITIVE', 'score': 0.9150153398513794}]"
Severn Trent share price rises as first half profit inches up as customer ...,"[{'label': 'NEGATIVE', 'score': 0.9427027106285095}]"
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,"[{'label': 'NEGATIVE', 'score': 0.9917731881141663}]"
Lloyds to cut 945 jobs as part of three-year restructuring strategy,"[{'label': 'NEGATIVE', 'score': 0.9938896894454956}]"
AstraZeneca to Buy ZS Pharma for $2.7 Billion,"[{'label': 'NEGATIVE', 'score': 0.9464516043663025}]"
"Ackman, in email, says supports Valeant CEO Pearson","[{'label': 'POSITIVE', 'score': 0.9701049327850342}]"
AstraZeneca sells US drug rights to Perrigo for $380 mln,"[{'label': 'NEGATIVE', 'score': 0.9947637319564819}]"
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","[{'label': 'NEGATIVE', 'score': 0.994342565536499}]"
CORRECTED-Shire to buy Dyax for about $5.9 bln,"[{'label': 'NEGATIVE', 'score': 0.9952220320701599}]"
Barclays poised to replace Sir Mike Rake as he heads for exit,"[{'label': 'NEGATIVE', 'score': 0.9705634713172913}]"
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,"[{'label': 'POSITIVE', 'score': 0.7842421531677246}]"
AstraZeneca shares climb 3% as drug maker ups profits forecasts,"[{'label': 'NEGATIVE', 'score': 0.9819438457489014}]"
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,"[{'label': 'NEGATIVE', 'score': 0.9963009357452393}]"
easyJet expects resilient demand to withstand security fears,"[{'label': 'NEGATIVE', 'score': 0.995785653591156}]"
Compass Group says positive for year ahead,"[{'label': 'POSITIVE', 'score': 0.9997196793556213}]"
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,"[{'label': 'POSITIVE', 'score': 0.9690894484519958}]"
US dollar wipes out sales gains for SABMiller,"[{'label': 'NEGATIVE', 'score': 0.9995200634002686}]"
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins","[{'label': 'NEGATIVE', 'score': 0.6743448972702026}]"
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,"[{'label': 'POSITIVE', 'score': 0.9804965853691101}]"
Valeant CEO Pledges to Heed Critics After `Painful' Experience,"[{'label': 'NEGATIVE', 'score': 0.9949228167533875}]"
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?","[{'label': 'NEGATIVE', 'score': 0.9469877481460571}]"
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?","[{'label': 'NEGATIVE', 'score': 0.9469877481460571}]"
StanChart and RBS struggle in Bank of England stress tests,"[{'label': 'NEGATIVE', 'score': 0.9946704506874084}]"
StanChart and RBS struggle in Bank of England stress tests,"[{'label': 'NEGATIVE', 'score': 0.9946704506874084}]"
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,"[{'label': 'NEGATIVE', 'score': 0.5208523273468018}]"
