Sentence,Sentiment,predicted_sentiment_bert,confidence_bert
Royal Mail chairman Donald Brydon set to step down,NEG,LABEL_0,0.5118138194084167
Slump in Weir leads FTSE down from record high,NEG,LABEL_0,0.5262203216552734
AstraZeneca wins FDA approval for key new lung cancer pill,POS,LABEL_0,0.5365932583808899
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,NEG,LABEL_0,0.5257861614227295
Standard Chartered Shifts Emerging-Markets Strategy After Losses,NEG,LABEL_0,0.5244251489639282
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,POS,LABEL_0,0.5491956472396851
Severn Trent share price rises as first half profit inches up as customer ...,POS,LABEL_0,0.5368937253952026
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,POS,LABEL_0,0.539349377155304
Lloyds to cut 945 jobs as part of three-year restructuring strategy,NEG,LABEL_0,0.5237354636192322
AstraZeneca to Buy ZS Pharma for $2.7 Billion,POS,LABEL_0,0.5500394105911255
"Ackman, in email, says supports Valeant CEO Pearson",POS,LABEL_0,0.5750961899757385
AstraZeneca sells US drug rights to Perrigo for $380 mln,POS,LABEL_0,0.567242443561554
"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",POS,LABEL_0,0.5299832820892334
CORRECTED-Shire to buy Dyax for about $5.9 bln,POS,LABEL_0,0.5467619895935059
Barclays poised to replace Sir Mike Rake as he heads for exit,POS,LABEL_0,0.5217589139938354
AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,POS,LABEL_0,0.5427308678627014
AstraZeneca shares climb 3% as drug maker ups profits forecasts,POS,LABEL_0,0.5326806902885437
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,POS,LABEL_0,0.5325470566749573
easyJet expects resilient demand to withstand security fears,POS,LABEL_0,0.5204753875732422
Compass Group says positive for year ahead,POS,LABEL_0,0.5256907343864441
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,POS,LABEL_0,0.5348196029663086
US dollar wipes out sales gains for SABMiller,NEG,LABEL_0,0.5204472541809082
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",POS,LABEL_0,0.5233122110366821
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,POS,LABEL_0,0.5221549272537231
Valeant CEO Pledges to Heed Critics After `Painful' Experience,NEG,LABEL_0,0.5606747269630432
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",POS,LABEL_0,0.5526121854782104
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",POS,LABEL_0,0.5526121854782104
StanChart and RBS struggle in Bank of England stress tests,NEG,LABEL_0,0.5144539475440979
StanChart and RBS struggle in Bank of England stress tests,NEG,LABEL_0,0.5144539475440979
REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,POS,LABEL_0,0.5232190489768982
Barclays sells benchmark indices unit to Bloomberg,POS,LABEL_0,0.5473167896270752
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,LABEL_0,0.5407548546791077
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,LABEL_0,0.5407548546791077
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",NEG,LABEL_0,0.5407548546791077
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",POS,LABEL_0,0.5427300930023193
"EU drops Shell, BP, Statoil from ethanol benchmark investigation",POS,LABEL_0,0.5427300930023193
AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,POS,LABEL_0,0.5584288835525513
Shell and BG Shareholders to Vote on Deal at End of January,NEU,LABEL_0,0.5202302932739258
AstraZeneca chases Acerta to secure next cancer drug winner,POS,LABEL_0,0.5460777282714844
CompaniesTesco off to a bad start over Xmas â€“ Kantar,NEG,LABEL_0,0.5045685768127441
"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",POS,LABEL_0,0.5507614016532898
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,POS,LABEL_0,0.5594494938850403
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,POS,LABEL_0,0.5367709994316101
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,POS,LABEL_0,0.549549400806427
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,POS,LABEL_0,0.549549400806427
Glencore Studies Possible IPO for Agricultural Trading Business,POS,LABEL_0,0.5382672548294067
Can Christmas Save Sainsbury's plc And Tesco plc?,NEG,LABEL_0,0.5503298044204712
UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,POS,LABEL_0,0.5332081913948059
Bilfinger Industrial Services win Â£100m BP contract extension,POS,LABEL_0,0.5135126709938049
"Standard Chartered, RBS Escape Capital Raising in Stress Test",POS,LABEL_0,0.5293980836868286
"Standard Chartered, RBS Escape Capital Raising in Stress Test",POS,LABEL_0,0.5293980836868286
AstraZeneca weighing up Acerta bid to secure blood cancer drug,POS,LABEL_0,0.52858966588974
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,POS,LABEL_0,0.5307844877243042
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,POS,LABEL_0,0.5289474725723267
L&G completes UK's largest medically underwritten bulk pension risk deal,POS,LABEL_0,0.5448837280273438
Meggitt share price tumbles as profit falls in 'challenging year',NEG,LABEL_0,0.51304692029953
Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,POS,LABEL_0,0.523383617401123
Kingfisher share price slides on cost to implement new strategy,NEG,LABEL_0,0.5371544361114502
Shire says internal synergy goals from Baxalta deal higher,POS,LABEL_0,0.5311940312385559
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",NEG,LABEL_0,0.5278531908988953
Morrisons and Debenhams surprise City with Christmas bounce back,POS,LABEL_0,0.5275704264640808
Morrisons and Debenhams surprise City with Christmas bounce back,POS,LABEL_0,0.5275704264640808
"Britain's FTSE falls back with Ashtead, commodities under pressure",NEG,LABEL_0,0.5445576310157776
Tesco shares jump 6% after Christmas sales beat expectations,POS,LABEL_0,0.517067015171051
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",POS,LABEL_0,0.5308204293251038
CompaniesHome Retail trims gains but is considered 'in play',POS,LABEL_0,0.536558985710144
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,POS,LABEL_0,0.5483272075653076
Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,POS,LABEL_0,0.5483272075653076
Investors Remain Skeptical About Shell-BG Deal,NEG,LABEL_0,0.5536354780197144
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,POS,LABEL_0,0.5048878788948059
Shire share price under pressure after $32bn Baxalta deal,NEG,LABEL_0,0.5158681869506836
Shire share price under pressure after $32bn Baxalta deal,NEG,LABEL_0,0.5158681869506836
Valeant Names Interim Leader as CEO Remains Hospitalized,NEU,LABEL_0,0.5240579843521118
Valeant Said to Name New CEO With Pearson Still Hospitalized,POS,LABEL_0,0.5408449769020081
Shares in BAE Systems hit 10-month high on rating upgrade,POS,LABEL_0,0.5292689204216003
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,POS,LABEL_0,0.5424513816833496
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,NEG,LABEL_0,0.5362435579299927
CompaniesDixons Carphone to close 134 UK stores as sales jump,POS,LABEL_0,0.5238730907440186
"Broker tips: RBS, Croda, Sage",POS,LABEL_0,0.5211741924285889
"Broker tips: RBS, Croda, Sage",POS,LABEL_0,0.5211741924285889
Shell share price: Standard Life announce position against BG acquisition,NEG,LABEL_0,0.5259501338005066
Shell share price: Standard Life announce position against BG acquisition,NEG,LABEL_0,0.5259501338005066
Tesco share price down as grocer faces SFO investigation outcome,NEG,LABEL_0,0.53530353307724
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",POS,LABEL_0,0.5283148884773254
Greene King's third quarter sales boosted by festive season,POS,LABEL_0,0.5052424669265747
ARM Royalties Accelerate as Smartphone Market Regains Strength,POS,LABEL_0,0.5258045792579651
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,POS,LABEL_0,0.525194525718689
InterContinental Hotels Group share price climbs on $1.5bn special dividend,POS,LABEL_0,0.5431209206581116
Amazon to attack UK grocery market with Morrisons deal,POS,LABEL_0,0.5478084087371826
AstraZeneca share price: Acerta deal pays off with orphan drug status,POS,LABEL_0,0.5453543066978455
"BHP Billiton posts big loss, slashes dividend",NEG,LABEL_0,0.5404880046844482
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,POS,LABEL_0,0.5389153957366943
BG Group appoints new CEO one month early,POS,LABEL_0,0.5326202511787415
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",POS,LABEL_0,0.5652694702148438
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",POS,LABEL_0,0.5652694702148438
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,NEG,LABEL_0,0.540033221244812
BHP Billiton drags FTSE lower after slashing dividend,NEG,LABEL_0,0.5624998211860657
"BHP Billiton slashes dividend, posts $5.67 billion net loss",NEG,LABEL_0,0.5301926136016846
CompaniesMeggitt profits hit by weak energy and military markets,NEG,LABEL_0,0.5152907371520996
Royal Mail share price edges lower as group raises stamp price,NEG,LABEL_0,0.5414939522743225
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",NEG,LABEL_0,0.5350669026374817
GlaxoSmithKline starts hunt for successor to CEO Witty,NEU,LABEL_0,0.5237034559249878
"Rio Tinto swings to loss, drops dividend policy",NEG,LABEL_0,0.5380624532699585
France raises concerns over proposed LSE-Deutsche Boerse deal,NEG,LABEL_0,0.5569522976875305
MarketsBP promotes upstream boss to deputy CEO,POS,LABEL_0,0.5338366627693176
Legal & General share price: Finance chief to step down,NEG,LABEL_0,0.5072981119155884
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,NEG,LABEL_0,0.5094110369682312
Arm profits and sales up as shift away from mobile gains pace,POS,LABEL_0,0.5140038132667542
Barclays appoints JPMorgan's Paul Compton as new COO,NEG,LABEL_0,0.5372433662414551
Barclays appoints JPMorgan's Paul Compton as new COO,POS,LABEL_0,0.5372433662414551
U.S. Debt Lures Schroders as ECB Depresses Rates,POS,LABEL_0,0.5460665822029114
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",NEG,LABEL_0,0.5779473185539246
NYSE owner ICE considers offer for LSE,POS,LABEL_0,0.5400766134262085
